icao24,callsign,est_departure,est_arrival,time,lat,lon,baro_alt_m,true_track,on_ground,velocity_ms,vertical_rate_ms,cas_ms,mach,fuel_flow_kg_s,cum_fuel_kg,cum_dist_nm
44006e,AUA96F,,,1778136780,58.677571,17.9132,10276.1,0.0,False,274.72,-30.105,176.23,0.82,0.10449,0.104,0.148
44006e,AUA96F,,,1778136781,58.680041,17.9132,10245.9,0.0,False,274.72,-30.246,176.61,0.82,0.10428,0.209,0.297
44006e,AUA96F,,,1778136782,58.682512,17.9132,10215.5,0.0,False,274.72,-30.389,177.0,0.82,0.10406,0.313,0.445
44006e,AUA96F,,,1778136783,58.684982,17.9132,10185.0,0.0,False,274.72,-30.533,177.39,0.82,0.10384,0.417,0.593
44006e,AUA96F,,,1778136784,58.687453,17.9132,10154.3,0.0,False,274.72,-30.679,177.79,0.82,0.10362,0.52,0.742
44006e,AUA96F,,,1778136785,58.689924,17.9132,10123.5,0.0,False,274.72,-30.826,178.18,0.82,0.1034,0.624,0.89
44006e,AUA96F,,,1778136786,58.692394,17.9132,10092.5,0.0,False,274.72,-30.975,178.58,0.82,0.10317,0.727,1.038
44006e,AUA96F,,,1778136787,58.694865,17.9132,10061.4,0.0,False,274.72,-31.127,178.98,0.82,0.10294,0.83,1.187
44006e,AUA96F,,,1778136788,58.697335,17.9132,10030.1,0.0,False,274.72,-31.279,179.38,0.82,0.1027,0.932,1.335
44006e,AUA96F,,,1778136789,58.699806,17.9132,9998.6,0.0,False,274.72,-31.434,179.78,0.82,0.10247,1.035,1.483
44006e,AUA96F,,,1778136790,58.702276,17.9132,9967.1,0.0,False,274.72,-31.591,180.19,0.82,0.10222,1.137,1.632
44006e,AUA96F,,,1778136791,58.704747,17.9132,9935.3,0.0,False,274.72,-31.749,180.6,0.82,0.10198,1.239,1.78
44006e,AUA96F,,,1778136792,58.707218,17.9132,9903.4,0.0,False,274.72,-31.909,181.01,0.82,0.10173,1.341,1.928
44006e,AUA96F,,,1778136793,58.709688,17.9132,9871.3,0.0,False,274.72,-32.071,181.43,0.82,0.10148,1.442,2.077
44006e,AUA96F,,,1778136794,58.712159,17.9132,9839.1,0.0,False,274.72,-32.236,181.84,0.82,0.10123,1.544,2.225
